trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-113.9200833635876,"{0: 20, 1: 2, 2: 3, 3: 5, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-124.91794989505533,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,11,0.38039067806237314,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-144.68112277024835,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,8,-23.89913359368776,"{0: 8, 1: 3, 2: 0, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-84.49471723159672,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-137.46330385984697,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,4,-56.771265820103906,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-83.86995242092453,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,10.009620721532391,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,12,-41.37369587184856,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,2,-87.7414024075063,"{0: 16, 1: 3, 2: 1, 3: 2, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,6,-95.90907541002385,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,20.907017712977247,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,6,-23.32193624872248,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,13,-32.80983641229917,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,13,6.243723086050068,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",35,0,19.168153092874896,"{0: 32, 1: 0, 2: 3, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,13,-32.91987691355671,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",35,19,29.43559764056828,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,0,18.818591195131493,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",30,5,41.15743580868306,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,2,-10.94655997451246,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0.0, 'e': 0.0}",30,20,19.422383678153764,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,2,26.0425828138742,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",30,10,32.21059821381817,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,11,14.457145763666848,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-13.644912704815958,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,9,28.472951224950663,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",30,16,20.54763661861039,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
