trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",30,0,-175.34161655421977,"{0: 18, 1: 1, 2: 7, 3: 2, 4: 2}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,14,-4.933288085496989,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-101.38611173550669,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-106.74324319571052,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-94.02099221608908,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",25,0,-120.40459359162494,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",25,0,-156.2465290327866,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",25,0,-105.09082818500022,"{0: 13, 1: 7, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",25,0,-144.24918552655436,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",25,0,-71.41835596608999,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",25,0,-113.40862041886876,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-51.29555845257475,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,0,-119.62848586073936,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",25,0,-69.11837720739925,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,12,-55.130418314679034,"{0: 4, 1: 2, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",25,0,-107.2697737652873,"{0: 12, 1: 8, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",20,0,-124.99727118768715,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",30,0,-96.41489686685661,"{0: 19, 1: 5, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",20,0,-106.68464230902698,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",30,0,-103.05295528513415,"{0: 15, 1: 7, 2: 8, 3: 0, 4: 0}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",20,0,-160.12951598727295,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",25,0,-132.4543246685298,"{0: 13, 1: 5, 2: 4, 3: 2, 4: 1}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",20,0,-153.52915259170572,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520296}",20,0,-31.655396896356397,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",25,0,-97.70502698756808,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",35,0,-221.53330556452968,"{0: 20, 1: 3, 2: 7, 3: 2, 4: 3}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",35,0,-221.72926021726445,"{0: 19, 1: 4, 2: 8, 3: 1, 4: 3}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",20,0,-116.28064585851628,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",20,0,-96.45216719853558,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
30,False,"{'a': 0.01, 'e': 0.955336489125606}",20,0,-42.39393519711374,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",20,0,-73.3891420106049,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",35,0,-269.1972081459764,"{0: 20, 1: 2, 2: 8, 3: 0, 4: 5}",0
33,False,"{'a': 0.01, 'e': 0.946042343528387}",25,0,-84.78601730909357,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",20,0,-23.857287958035567,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",25,6,-72.41992282949597,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 1}",1
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",30,7,-98.28973262356561,"{0: 16, 1: 0, 2: 4, 3: 2, 4: 1}",1
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",25,0,-162.01739800927461,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",30,0,-98.07097222078694,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",20,0,-4.880958697286437,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",25,0,-90.77634322080206,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",20,4,-102.67981312888307,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 2}",1
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",20,0,-58.94138357156357,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",30,0,-175.8043415263197,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199634}",30,0,-127.61255826849566,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",25,0,-140.6472354667289,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
46,False,"{'a': 0.01, 'e': 0.8960524975255252}",25,0,-186.8143786049045,"{0: 15, 1: 3, 2: 1, 3: 3, 4: 3}",0
47,False,"{'a': 0.01, 'e': 0.891568288195329}",20,8,-14.333140042306473,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",25,1,-87.30131860728781,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 1}",1
49,False,"{'a': 0.01, 'e': 0.8823328586101215}",20,0,-42.976738874465234,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",25,0,-97.10237679100021,"{0: 13, 1: 4, 2: 7, 3: 1, 4: 0}",0
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",25,0,-121.3261365988754,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",20,0,-87.50907502182963,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",20,6,-13.298124317011261,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",25,0,-92.70903356987351,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",20,0,-103.6631431849476,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",20,0,-104.20538516975346,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",20,0,-51.77461676881653,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",25,0,-27.94295006737488,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
59,False,"{'a': 0.01, 'e': 0.8309406791001636}",20,0,-77.85532691679575,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",20,0,-192.10086396387442,"{0: 9, 1: 5, 2: 2, 3: 0, 4: 4}",0
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",25,7,-33.5349289322093,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 0}",1
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",20,0,-202.31762953224953,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",20,0,-113.09372115446068,"{0: 10, 1: 2, 2: 4, 3: 4, 4: 0}",1
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",20,0,-90.7645317523068,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
65,False,"{'a': 0.01, 'e': 0.7960837985490558}",30,0,-59.73633056904623,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 1}",0
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",20,9,1.286912382534966,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",20,0,-42.025342158161514,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",25,0,-125.33057829723904,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",25,0,-260.50154855725606,"{0: 10, 1: 3, 2: 7, 3: 1, 4: 4}",0
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",20,0,-72.14991337195862,"{0: 14, 1: 2, 2: 0, 3: 4, 4: 0}",0
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",25,0,-44.586824272798964,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
72,False,"{'a': 0.01, 'e': 0.7518057291408949}",20,3,-30.516743378157003,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",20,6,3.974441536146079,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",20,0,-98.23012352772788,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",30,0,-180.96086982909551,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",25,12,-10.409463811796764,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
77,False,"{'a': 0.01, 'e': 0.7179106696109434}",30,0,-145.46796062576732,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",25,0,-72.98391323231506,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
79,False,"{'a': 0.01, 'e': 0.7038453156522361}",20,0,-68.61380149079281,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
80,False,"{'a': 0.01, 'e': 0.6967067093471654}",25,0,-93.57059121948248,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
81,False,"{'a': 0.01, 'e': 0.689498432951747}",25,0,-12.666340336509375,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
82,False,"{'a': 0.01, 'e': 0.6822212072876135}",20,11,-11.040044694586046,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.01, 'e': 0.674875760071267}",20,0,-22.879809686483977,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
84,False,"{'a': 0.01, 'e': 0.6674628258413081}",20,0,-82.11058025043518,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",20,15,-30.32760847379426,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",30,24,9.858501490986566,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",30,5,-135.399841175085,"{0: 17, 1: 0, 2: 4, 3: 2, 4: 2}",1
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",20,0,-35.46551724600919,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
