trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-231.44302769858962,"{0: 11, 1: 2, 2: 1, 3: 1, 4: 5}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-208.38651360953676,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.76230521530891,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.99509484389267,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-135.20769005925544,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.49101115001739,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-142.18535766216115,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.41987363966439,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-133.90550214206294,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.44686508577684,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-182.22846960272835,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-173.15340479783217,"{0: 8, 1: 4, 2: 4, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,12,-44.40787616114891,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.0502834047104,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.42037698495922,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-151.94814224292904,"{0: 10, 1: 4, 2: 10, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-6.463927568243285,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-116.0440520046649,"{0: 14, 1: 4, 2: 3, 3: 4, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-115.34851700436832,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-161.38536057191521,"{0: 14, 1: 4, 2: 3, 3: 2, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",35,14,-136.0953962022325,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 2}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,14,-21.318173586076455,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 0}",1
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-62.364673422665135,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-108.49613957602145,"{0: 18, 1: 4, 2: 5, 3: 3, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-184.1740459091237,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-154.45737279635088,"{0: 10, 1: 5, 2: 8, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-142.0749463265881,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",35,0,-289.3473093098116,"{0: 15, 1: 5, 2: 8, 3: 4, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,8,-40.106930782212196,"{0: 7, 1: 1, 2: 3, 3: 1, 4: 0}",1
10,True,"{'a': 0.5, 'e': 1.0}",35,0,-200.73238596496583,"{0: 20, 1: 6, 2: 5, 3: 1, 4: 3}",0
